date,close,high,low,ma10,ma20,ma5,open,p_change,price_change,turnover,v_ma10,v_ma20,v_ma5,volume
2017-01-13,8.6,8.97,8.56,9.201,9.34,9.072,8.84,-2.6,-0.23,2.66,191743.13,288121.41,170360.75,119085.79
2017-01-16,8.15,8.65,7.74,9.105,9.283,8.796,8.58,-5.23,-0.45,3.7,192792.09,279692.48,159651.7,165879.62
2017-01-17,8.29,8.33,8.0,9.003,9.2,8.58,8.16,1.72,0.14,2.32,179445.67,235495.47,145001.7,103903.0
2017-01-18,8.38,8.41,8.22,8.891,9.135,8.45,8.25,1.09,0.09,1.81,160345.62,212708.99,118875.11,80994.64
2017-01-19,8.25,8.36,8.21,8.781,9.063,8.334,8.36,-1.55,-0.13,1.27,146256.12,193338.2,105377.1,57022.43
2017-01-20,8.44,8.45,8.1,8.687,9.006,8.302,8.24,2.3,0.19,1.71,133624.86,180675.29,96888.97,76645.14
2017-01-23,8.54,8.55,8.4,8.588,8.966,8.38,8.46,1.19,0.1,1.73,119408.05,167415.95,79164.39,77256.73
2017-01-24,8.5,8.67,8.41,8.501,8.921,8.422,8.57,-0.47,-0.04,1.51,108442.63,158457.21,71883.56,67498.88
2017-01-25,8.37,8.44,8.29,8.435,8.872,8.42,8.37,-1.53,-0.13,1.72,94974.27,149992.24,71073.43,76943.95
2017-01-26,8.44,8.49,8.34,8.396,8.825,8.458,8.35,0.84,0.07,1.27,88210.74,144057.59,71044.38,56877.21
2017-02-03,8.5,8.61,8.44,8.386,8.794,8.47,8.54,0.71,0.06,1.18,81576.34,136659.74,66263.72,52741.84
2017-02-06,8.84,9.19,8.66,8.455,8.78,8.53,8.67,4.0,0.34,6.58,94463.95,143628.02,109763.51,294755.69
2017-02-07,9.03,9.05,8.66,8.529,8.766,8.636,8.8,2.15,0.19,4.79,105535.1,142490.39,139186.64,214614.52
2017-02-08,8.98,9.04,8.85,8.589,8.74,8.758,8.94,-0.55,-0.05,3.0,110880.35,135612.99,150687.28,134447.16
2017-02-09,8.94,9.0,8.91,8.658,8.72,8.858,8.91,-0.45,-0.04,2.74,117449.07,131852.6,163853.76,122709.61
2017-02-10,8.8,9.01,8.79,8.694,8.691,8.918,8.91,-1.57,-0.14,3.1,123683.18,128654.02,181102.64,138986.23
2017-02-13,8.9,8.92,8.71,8.73,8.659,8.93,8.8,1.14,0.1,2.68,127963.01,123685.53,146162.51,120055.04
2017-02-14,9.01,9.1,8.79,8.781,8.641,8.926,8.88,1.24,0.11,3.86,138478.66,123460.64,137770.67,172655.31
2017-02-15,8.87,9.08,8.83,8.831,8.633,8.904,9.0,-1.55,-0.14,4.07,149025.29,121999.78,147363.29,182410.25
2017-02-16,9.09,9.1,8.73,8.896,8.646,8.934,8.8,2.48,0.22,4.06,161507.81,124859.28,159161.86,181702.48
2017-02-17,8.94,9.15,8.87,8.94,8.663,8.962,9.09,-1.65,-0.15,3.41,171503.98,126540.16,161905.32,152703.52
2017-02-20,9.05,9.06,8.87,8.961,8.708,8.992,8.9,1.23,0.11,2.75,154340.16,124402.05,162517.8,123117.45
2017-02-21,9.08,9.17,8.93,8.966,8.748,9.006,9.07,0.33,0.03,3.86,150150.67,127842.89,162530.67,172719.64
2017-02-22,9.09,9.14,9.01,8.977,8.783,9.05,9.14,0.11,0.01,3.07,150445.71,130663.03,153528.14,137397.59
2017-02-23,8.96,9.11,8.9,8.979,8.819,9.024,9.1,-1.43,-0.13,2.67,150111.31,133780.19,141060.75,119365.54
2017-02-24,8.99,9.01,8.89,8.998,8.846,9.034,8.91,0.34,0.03,1.88,144646.98,134165.08,127388.64,84343.0
2017-02-27,8.65,8.99,8.61,8.973,8.852,8.954,8.97,-3.78,-0.34,3.42,147956.86,137959.94,133395.93,153153.86
2017-02-28,8.69,8.71,8.59,8.941,8.861,8.876,8.65,0.46,0.04,1.58,137777.22,138127.94,113023.78,70858.9
2017-03-01,8.62,8.69,8.54,8.916,8.874,8.782,8.69,-0.81,-0.07,2.84,132247.69,140636.49,110967.24,127114.88
2017-03-02,8.6,8.67,8.56,8.867,8.882,8.71,8.62,-0.23,-0.02,1.43,120462.84,140985.32,99864.92,63853.98
2017-03-03,8.55,8.59,8.44,8.828,8.884,8.622,8.57,-0.58,-0.05,2.27,115368.91,143436.44,103349.17,101764.21
2017-03-06,8.65,8.66,8.48,8.788,8.875,8.622,8.5,1.17,0.1,2.21,112967.61,133653.88,92539.29,99104.46
2017-03-07,8.57,8.66,8.53,8.737,8.852,8.598,8.66,-0.93,-0.08,1.66,103133.25,126641.96,93242.73,74376.1
2017-03-08,8.49,8.62,8.45,8.677,8.827,8.572,8.58,-0.93,-0.08,1.46,95942.74,123194.23,80918.24,65492.47
2017-03-09,8.29,8.5,8.25,8.61,8.795,8.51,8.45,-2.36,-0.2,2.97,97301.35,123706.33,94737.78,132951.66
2017-03-10,8.3,8.35,8.26,8.541,8.77,8.46,8.3,0.12,0.01,1.47,95434.35,120040.67,87519.54,65673.02
